Height: 247, TxCount: 300, E2E_TPS: 172.50, Pure_TPS: 168.09, Submit_TPS: 135.11, TotalTxs: 16470, TotalBlocks: 248
Height: 248, TxCount: 300, E2E_TPS: 175.56, Pure_TPS: 171.07, Submit_TPS: 135.05, TotalTxs: 16770, TotalBlocks: 249
Height: 249, TxCount: 300, E2E_TPS: 178.51, Pure_TPS: 173.96, Submit_TPS: 134.91, TotalTxs: 17070, TotalBlocks: 250
Height: 250, TxCount: 300, E2E_TPS: 181.21, Pure_TPS: 176.59, Submit_TPS: 135.20, TotalTxs: 17370, TotalBlocks: 251
Height: 251, TxCount: 300, E2E_TPS: 184.29, Pure_TPS: 179.60, Submit_TPS: 135.17, TotalTxs: 17670, TotalBlocks: 252
Height: 252, TxCount: 300, E2E_TPS: 187.40, Pure_TPS: 182.62, Submit_TPS: 135.15, TotalTxs: 17970, TotalBlocks: 253
Height: 253, TxCount: 300, E2E_TPS: 190.40, Pure_TPS: 185.56, Submit_TPS: 135.06, TotalTxs: 18270, TotalBlocks: 254
Height: 254, TxCount: 300, E2E_TPS: 193.45, Pure_TPS: 188.53, Submit_TPS: 135.01, TotalTxs: 18570, TotalBlocks: 255
Height: 255, TxCount: 300, E2E_TPS: 196.53, Pure_TPS: 191.53, Submit_TPS: 134.98, TotalTxs: 18870, TotalBlocks: 256
Height: 256, TxCount: 300, E2E_TPS: 199.27, Pure_TPS: 194.21, Submit_TPS: 135.34, TotalTxs: 19170, TotalBlocks: 257
Height: 257, TxCount: 300, E2E_TPS: 202.10, Pure_TPS: 196.98, Submit_TPS: 135.15, TotalTxs: 19470, TotalBlocks: 258
Height: 258, TxCount: 300, E2E_TPS: 204.60, Pure_TPS: 199.43, Submit_TPS: 134.74, TotalTxs: 19770, TotalBlocks: 259
Height: 259, TxCount: 300, E2E_TPS: 207.61, Pure_TPS: 202.37, Submit_TPS: 135.31, TotalTxs: 20070, TotalBlocks: 260
Height: 260, TxCount: 300, E2E_TPS: 210.65, Pure_TPS: 205.33, Submit_TPS: 135.26, TotalTxs: 20370, TotalBlocks: 261
Height: 261, TxCount: 300, E2E_TPS: 213.51, Pure_TPS: 208.13, Submit_TPS: 135.11, TotalTxs: 20670, TotalBlocks: 262
Height: 262, TxCount: 300, E2E_TPS: 216.42, Pure_TPS: 210.96, Submit_TPS: 134.99, TotalTxs: 20970, TotalBlocks: 263
Height: 263, TxCount: 300, E2E_TPS: 218.98, Pure_TPS: 213.47, Submit_TPS: 135.08, TotalTxs: 21270, TotalBlocks: 264
Height: 264, TxCount: 300, E2E_TPS: 221.87, Pure_TPS: 216.30, Submit_TPS: 135.16, TotalTxs: 21570, TotalBlocks: 265
Height: 265, TxCount: 300, E2E_TPS: 224.23, Pure_TPS: 218.62, Submit_TPS: 134.72, TotalTxs: 21870, TotalBlocks: 266
Height: 266, TxCount: 300, E2E_TPS: 227.24, Pure_TPS: 221.55, Submit_TPS: 134.68, TotalTxs: 22170, TotalBlocks: 267
Height: 267, TxCount: 300, E2E_TPS: 230.28, Pure_TPS: 224.51, Submit_TPS: 134.66, TotalTxs: 22470, TotalBlocks: 268
Height: 268, TxCount: 300, E2E_TPS: 233.29, Pure_TPS: 227.45, Submit_TPS: 134.62, TotalTxs: 22770, TotalBlocks: 269
Height: 269, TxCount: 300, E2E_TPS: 236.26, Pure_TPS: 230.35, Submit_TPS: 135.18, TotalTxs: 23070, TotalBlocks: 270
Height: 270, TxCount: 300, E2E_TPS: 238.93, Pure_TPS: 232.96, Submit_TPS: 134.95, TotalTxs: 23370, TotalBlocks: 271
Height: 271, TxCount: 300, E2E_TPS: 241.95, Pure_TPS: 235.91, Submit_TPS: 134.93, TotalTxs: 23670, TotalBlocks: 272
Height: 272, TxCount: 300, E2E_TPS: 244.96, Pure_TPS: 238.84, Submit_TPS: 134.90, TotalTxs: 23970, TotalBlocks: 273
Height: 273, TxCount: 300, E2E_TPS: 247.77, Pure_TPS: 241.59, Submit_TPS: 134.76, TotalTxs: 24270, TotalBlocks: 274
Height: 274, TxCount: 300, E2E_TPS: 250.76, Pure_TPS: 244.51, Submit_TPS: 134.72, TotalTxs: 24570, TotalBlocks: 275
Height: 275, TxCount: 300, E2E_TPS: 253.64, Pure_TPS: 247.32, Submit_TPS: 134.62, TotalTxs: 24870, TotalBlocks: 276
Height: 276, TxCount: 300, E2E_TPS: 256.57, Pure_TPS: 250.18, Submit_TPS: 135.16, TotalTxs: 25170, TotalBlocks: 277
Height: 277, TxCount: 300, E2E_TPS: 259.07, Pure_TPS: 252.63, Submit_TPS: 134.88, TotalTxs: 25470, TotalBlocks: 278
Height: 278, TxCount: 120, E2E_TPS: 260.25, Pure_TPS: 253.78, Submit_TPS: 134.85, TotalTxs: 25590, TotalBlocks: 279
Height: 279, TxCount: 90, E2E_TPS: 261.06, Pure_TPS: 254.58, Submit_TPS: 134.80, TotalTxs: 25680, TotalBlocks: 280
Height: 280, TxCount: 90, E2E_TPS: 261.66, Pure_TPS: 255.17, Submit_TPS: 134.64, TotalTxs: 25770, TotalBlocks: 281
Height: 281, TxCount: 120, E2E_TPS: 262.68, Pure_TPS: 256.17, Submit_TPS: 134.54, TotalTxs: 25890, TotalBlocks: 282
Height: 282, TxCount: 0, E2E_TPS: 262.57, Pure_TPS: 256.06, Submit_TPS: 135.09, TotalTxs: 25890, TotalBlocks: 283
Height: 283, TxCount: 0, E2E_TPS: 262.45, Pure_TPS: 255.95, Submit_TPS: 135.03, TotalTxs: 25890, TotalBlocks: 284
Height: 284, TxCount: 30, E2E_TPS: 262.65, Pure_TPS: 256.15, Submit_TPS: 134.97, TotalTxs: 25920, TotalBlocks: 285
Height: 285, TxCount: 0, E2E_TPS: 262.51, Pure_TPS: 256.01, Submit_TPS: 134.90, TotalTxs: 25920, TotalBlocks: 286
